category,predictor,nfactors,k,recall,precision
Clothing Shoes and Jewelry,SVD-30,30,0,0.03636415574028051,1.0
Clothing Shoes and Jewelry,SVD-30,30,1,0.5828800103788881,0.9217870711571972
Clothing Shoes and Jewelry,SVD-30,30,2,0.8363199577372864,0.9144028337189705
Clothing Shoes and Jewelry,SVD-30,30,3,0.934105371245324,0.9107797488121424
Clothing Shoes and Jewelry,SVD-30,30,4,0.9671646693002861,0.9092871901810113
Clothing Shoes and Jewelry,SVD-30,30,5,0.9789115844679995,0.9088629893069006
Clothing Shoes and Jewelry,SVD-30,30,6,0.983770418323269,0.9088344235914722
Clothing Shoes and Jewelry,SVD-30,30,7,0.9858914562045153,0.9087426052204526
Clothing Shoes and Jewelry,SVD-30,30,8,0.9869452007375129,0.908736994097779
Clothing Shoes and Jewelry,SVD-30,30,9,0.9875315804874374,0.9087266787005412
Clothing Shoes and Jewelry,SVD-30,30,10,0.9878728416509117,0.908726043906865
Clothing Shoes and Jewelry,SVD-30,30,11,0.98805499391056,0.9087164354389481
Clothing Shoes and Jewelry,SVD-30,30,12,0.9881996394397541,0.9087101596378311
Clothing Shoes and Jewelry,SVD-30,30,13,0.9883026258662819,0.9087050324581389
Clothing Shoes and Jewelry,SVD-30,30,14,0.988373053329142,0.9087075437298251
Clothing Shoes and Jewelry,SVD-30,30,15,0.9884135548294435,0.9087029188044699
Clothing Shoes and Jewelry,SVD-30,30,16,0.9884437653476482,0.9087044661140555
Clothing Shoes and Jewelry,SVD-30,30,17,0.9884584857665938,0.9087043610930431
Clothing Shoes and Jewelry,SVD-30,30,18,0.9884717498941648,0.9087058547252223
Clothing Shoes and Jewelry,SVD-30,30,19,0.9884783388616081,0.9087041006900644
Clothing Shoes and Jewelry,SVD-30,30,20,0.9884833408448609,0.9087045517276764
Clothing Shoes and Jewelry,SVD-30,30,21,0.9884868393694073,0.9087048917957172
Clothing Shoes and Jewelry,SVD-30,30,22,0.9884889776217902,0.9087052009484816
Clothing Shoes and Jewelry,SVD-30,30,23,0.988491115874173,0.9087054832183968
Clothing Shoes and Jewelry,SVD-30,30,24,0.9884917506678492,0.9087045517276764
Clothing Shoes and Jewelry,SVD-30,30,25,0.9884923854615254,0.9087036947562136
Clothing Shoes and Jewelry,SVD-30,30,26,0.9884945237139086,0.9087040023869951
Clothing Shoes and Jewelry,SVD-30,30,27,0.9884951585075847,0.9087040023869951
Clothing Shoes and Jewelry,SVD-30,30,28,0.9884957933012609,0.9087040023869951
Clothing Shoes and Jewelry,SVD-30,30,29,0.9884964280949371,0.9087040023869951
Clothing Shoes and Jewelry,SVD-30,30,30,0.9884970628886133,0.9087040023869951
Clothing Shoes and Jewelry,SVD-30,30,31,0.9884976976822895,0.9087040023869951
Clothing Shoes and Jewelry,SVD-30,30,32,0.9884983324759656,0.9087040023869951
Clothing Shoes and Jewelry,SVD-30,30,33,0.9884989672696418,0.9087040023869951
