category,predictor,nfactors,rmse,mae
Video Games,SVD-30,30,1.0632058860318243,0.7989788189266127
Toys and Games,SVD-30,30,0.9005442289104963,0.6465720821429064
Sports and Outdoors,SVD-30,30,0.939669024635693,0.6674344467010999
Movies and TV,SVD-30,30,1.0203008401981448,0.7491388354594645
Kindle Store,SVD-30,30,0.7884092928483476,0.5519445350917199
Home and Kitchen,SVD-30,30,1.0525778611284984,0.7574777866644455
Health and Personal Care,SVD-30,30,1.0405701958797409,0.756953949346737
Electronics,SVD-30,30,1.1067897984814647,0.810400536581823
Clothing Shoes and Jewelry,SVD-30,30,1.0575128720163973,0.7966639807334238
Cell Phones and Accessories,SVD-30,30,1.1670729273165479,0.8847215532723121
CDs and Vinyl,SVD-30,30,0.9360923441967495,0.6752213134717115
Books,SVD-30,30,0.9227063923125584,0.6708469387582642
