drop_ratio,hidden_size,k,lambda_n,lambda_u,lambda_v,lambda_w,matrix_noise,mse_train,mae_train,mse_test,mae_test
0.1,150,50,100,0.01,100,10,0.3,0.3133990900656442,0.22693417675528277,1.209138928912279,0.9150230681127722
0.1,150,50,100,0.01,100,1,0.3,1.156802799086497,0.8592124647939139,1.5264897894461549,1.1529858873492203
0.1,150,50,100,0.1,100,10,0.3,0.5014586392567146,0.37869572494521037,1.138882808197359,0.8726035603446836
0.1,150,50,100,0.1,100,1,0.3,1.1662967790766654,0.8713990918024852,1.488823285979973,1.143942703032282
0.1,150,50,10,0.01,100,10,0.3,0.24990170797941946,0.18058986933215287,1.1876135189419583,0.8951088246405531
0.1,150,50,10,0.01,100,1,0.3,1.0007858621609638,0.7453751152325887,1.4802051956760782,1.1334468653085321
0.1,150,50,10,0.1,100,10,0.3,0.47972229802686595,0.3587067156884671,1.1244737454221205,0.8572620917232057
0.1,150,50,10,0.1,100,1,0.3,1.001209826307326,0.7735019873687894,1.3556895260026451,1.0626275699682683
