drop_ratio,hidden_size,k,lambda_n,lambda_q,lambda_v,lambda_w,matrix_noise,rmse_train,mae_train,rmse_test,mae_test
0.1,100,25,1,0.01,1,1,0.3,0.9362067230789279,0.7212076234759023,1.0604808895610849,0.817254239818927
0.1,100,25,1,0.01,1,10,0.3,0.9361525667957583,0.7210583279681225,1.060628520842699,0.8173814267151626
0.1,100,25,1,0.01,10,1,0.3,0.9354864003254633,0.7204408292594783,1.0606275131162293,0.8174145119098174
0.1,100,25,1,0.01,10,10,0.3,0.9357007503257057,0.7207980139804925,1.0603054819857842,0.8169780240225513
0.1,100,25,1,0.1,1,1,0.3,0.9441821912505012,0.7272511362107248,1.0600383065813344,0.8167722654528626
0.1,100,25,1,0.1,1,10,0.3,0.9443104619543565,0.7272941583272339,1.0597833662552778,0.8166924197404819
0.1,100,25,1,0.1,10,1,0.3,0.9443704128173837,0.7274100712715323,1.0595650908463359,0.8165602534415614
0.1,100,25,1,0.1,10,10,0.3,0.9442716348863075,0.727224521604835,1.0596858024880245,0.8166178192315215
0.1,100,25,10,0.01,1,1,0.3,0.9356478211449373,0.7207071486576779,1.0603493595842448,0.8172015977357564
0.1,100,25,10,0.01,1,10,0.3,0.9362403234958314,0.7212506591093057,1.0600933247798154,0.8169442779621047
0.1,100,25,10,0.01,10,1,0.3,0.9361427790461296,0.7210984696096405,1.0600067728484306,0.8167259218799744
0.1,100,25,10,0.01,10,10,0.3,0.9354506684551313,0.7206482120736833,1.0610077493830377,0.8177595366345757
0.1,100,25,10,0.1,1,1,0.3,0.9442613862477884,0.7271722109384348,1.0595199929936467,0.816661712393428
0.1,100,25,10,0.1,1,10,0.3,0.9441262951203789,0.7271469925456545,1.0597912785672543,0.8166561158846747
0.1,100,25,10,0.1,10,1,0.3,0.9440246263207904,0.7271060191263862,1.0598572169660878,0.8169581806049093
0.1,100,25,10,0.1,10,10,0.3,0.9443543329078155,0.7273053052611091,1.0597169601558867,0.8166799966809433
0.1,100,50,1,0.01,1,1,0.3,0.8995090187755608,0.6931524964698661,1.0627967357098125,0.8192202864315026
0.1,100,50,1,0.01,1,10,0.3,0.8992441297127589,0.6929265191935173,1.0628130855974105,0.8192092713283506
0.1,100,50,1,0.01,10,1,0.3,0.9001295359574275,0.6935411308766629,1.0622949173443446,0.8188637035488414
0.1,100,50,1,0.01,10,10,0.3,0.8993469026690292,0.6929792502664371,1.062701386311986,0.8190380124809863
