drop_ratio,hidden_size,k,lambda_n,lambda_q,lambda_v,lambda_w,matrix_noise,rmse_train,mae_train,rmse_test,mae_test
0.1,100,20,1,1,1,1,0.3,0.9649910826299731,0.7430234550188071,1.058658644662754,0.8157142466491095
0.1,100,20,1,10,1,1,0.3,0.9731575372222738,0.7492488049925231,1.058242564139821,0.8152681438299545
0.1,100,35,1,1,1,1,0.3,0.9578992203491604,0.7376913403971461,1.0587251386151855,0.8157335719465333
0.1,100,35,1,10,1,1,0.3,0.9722176261598345,0.7485378384714099,1.0582873105320285,0.8152917224385882
0.1,100,50,1,1,1,1,0.3,0.9511343222294022,0.7325186885066173,1.0590952314867104,0.8160895464781532
0.1,100,50,1,10,1,1,0.3,0.9712801641202535,0.7478388621258228,1.0582802246581717,0.8152941382598238
0.1,125,20,1,1,1,1,0.3,0.964943958448893,0.7430826544938796,1.058617650872264,0.8156084298630257
0.1,125,20,1,10,1,1,0.3,0.9731646074848785,0.7492524559842935,1.05823831159399,0.8152491651928578
0.1,125,35,1,1,1,1,0.3,0.9580090441346428,0.737768930425796,1.059033455103623,0.8159958682178229
0.1,125,35,1,10,1,1,0.3,0.9722155461966884,0.7485414257923706,1.0582684238690216,0.8152812199948417
0.1,125,50,1,1,1,1,0.3,0.9512726496666227,0.7326197110062751,1.0592253716153481,0.8163494328538636
0.1,125,50,1,10,1,1,0.3,0.9712964028490209,0.7478484608199075,1.0582693920146236,0.8152988106486503
0.1,150,20,1,1,1,1,0.3,0.9649746567858959,0.7430349259126087,1.0586095778379163,0.815591453455497
0.1,150,20,1,10,1,1,0.3,0.9731586408237286,0.7492457037201458,1.0582434761087647,0.8152510157085328
0.1,150,35,1,1,1,1,0.3,0.9580940287943583,0.7378431988376001,1.0588173985739102,0.8158191641194927
0.1,150,35,1,10,1,1,0.3,0.9722103763510979,0.7485336571739671,1.0582564008515531,0.815272096452308
0.1,150,50,1,1,1,1,0.3,0.9512304131902704,0.7326511017515528,1.0589404655655197,0.8160268911803862
0.1,150,50,1,10,1,1,0.3,0.9713053784680472,0.7478550585287147,1.058300745033865,0.8153267968723253
