drop_ratio,hidden_size,k,lambda_n,lambda_q,lambda_v,lambda_w,matrix_noise,rmse_train,mae_train,rmse_test,mae_test
drop_ratio,hidden_size,k,lambda_n,lambda_q,lambda_v,lambda_w,matrix_noise,rmse_train,mae_train,rmse_test,mae_test
0.1,100,25,0.1,10,0.1,0,0.3,0.9726283320307414,0.7488403536691853,1.0582415348935366,0.8152599969371426
0.1,100,25,0.1,10,0.1,1,0.3,0.972847267128203,0.7490166247954364,1.0582613843283413,0.8152772072101461
0.1,100,25,0.1,10,0.1,1,0.3,0.9728421063936192,0.7490068841092974,1.058251245367972,0.8152751633070745
0.1,100,25,0.1,10,0.1,10,0.3,0.9728377371751284,0.7490019512750077,1.0582460279107735,0.815271484744278
0.1,100,25,0.1,10,1,0,0.3,0.9727732524060545,0.7489577803227643,1.0582721869504312,0.8152760489452769
0.1,100,25,0.1,10,1,1,0.3,0.9728509151290751,0.749020801875692,1.0582522910645986,0.8152642436685498
0.1,100,25,0.1,10,1,1,0.3,0.972855196068945,0.7490224827845355,1.058260288126887,0.8152722600691648
0.1,100,25,0.1,10,1,10,0.3,0.9728375986075264,0.7490129310415788,1.0582545704660158,0.8152817510661561
0.1,100,25,0.1,10,10,0,0.3,0.9727738161900324,0.748964246446317,1.058241837852682,0.8152541162708066
0.1,100,25,0.1,10,10,1,0.3,0.9728375451832783,0.7490081348840145,1.0582536551745136,0.8152519216931275
0.1,100,25,0.1,10,10,1,0.3,0.9728386147361353,0.7490068170621825,1.0582529682264497,0.8152739220448546
0.1,100,25,0.1,10,10,10,0.3,0.9728410534925473,0.7490096721571684,1.0582442792953557,0.8152729102843712
0.1,100,25,0.1,100,0.1,0,0.3,0.9739143743940976,0.7497965007035045,1.0582026321741766,0.8151660539724227
0.1,100,25,0.1,100,0.1,1,0.3,0.9742574299371992,0.7500691619285816,1.0582031956381925,0.8152182270746624
0.1,100,25,0.1,100,0.1,1,0.3,0.9742583382942537,0.7500694851120985,1.0582023380957855,0.815216406448305
