drop_ratio,hidden_size,k,lambda_n,lambda_u,lambda_v,lambda_w,matrix_noise,mse_train,mae_train,mse_test,mae_test
0.1,150,50,10,0.1,100,10,0.3,0.49360536938698263,0.37103210501922784,1.1318548456490456,0.8658930532761322
0.1,150,50,10,0.1,100,20,0.3,0.46575225151566674,0.34555857143588314,1.1273806018260362,0.8586786815930801
0.1,150,50,10,1,100,10,0.3,0.903492457721195,0.725264160293849,1.141583137569052,0.9116095157649537
0.1,150,50,10,1,100,20,0.3,0.9230295826590718,0.7443256020873364,1.1556865457043648,0.9274376732790985
0.1,150,50,10,10,100,10,0.3,1.4999931944939966,1.2780283063599256,1.6150415598668466,1.3696057835657922
0.1,150,50,10,10,100,20,0.3,1.5662925106695045,1.3347867234932849,1.6792642553480965,1.424633582600059
0.1,150,50,1,0.1,100,10,0.3,0.47831843259729395,0.35839006692297876,1.1297638524522229,0.8630506316096471
0.1,150,50,1,0.1,100,20,0.3,0.46377510587101967,0.34395505807205873,1.127259192116191,0.8593223577356036
0.1,150,50,1,1,100,10,0.3,0.9058735727090043,0.7272777813652521,1.1440836328315322,0.9137170219858739
0.1,150,50,1,1,100,20,0.3,0.9171763600124744,0.738753887730908,1.151696334979039,0.9231030138787167
0.1,150,50,1,10,100,10,0.3,1.502807533560454,1.278139984621435,1.6194011305514275,1.3709880131722931
0.1,150,50,1,10,100,20,0.3,1.5715786858365952,1.3392344499058941,1.6842449528911927,1.4286945379801435
