drop_ratio,hidden_size,k,lambda_n,lambda_u,lambda_v,lambda_w,matrix_noise,mse_train,mae_train,mse_test,mae_test
0.1,150,45,100,0.01,100,10,0.3,0.2711138861697345,0.19661203056100987,1.1988853562366883,0.9022356097005529
0.1,150,50,100,0.01,100,10,0.3,0.24091355530375028,0.1717945506158349,1.1933669288440176,0.8916348982034228
0.1,150,65,100,0.01,100,10,0.3,0.2755829683348525,0.20025851974164663,1.1754695423248727,0.8892798797693903
0.1,200,45,100,0.01,100,10,0.3,0.27494439613380234,0.19740732079121467,1.1974457485402563,0.9021593983418696
0.1,200,50,100,0.01,100,10,0.3,0.24302405732956336,0.17368056573639346,1.183749743002336,0.8868081611590992
0.1,200,65,100,0.01,100,10,0.3,0.27589105602153013,0.20043199845911053,1.1857906498846726,0.8943859127804198
