drop_ratio,hidden_size,k,lambda_n,lambda_u,lambda_v,lambda_w,matrix_noise,mse_train,mae_train,mse_test,mae_test
0.1,150,50,10,0.01,100,20,0.3,0.18926901698927712,0.13595532744417507,1.184975255887487,0.8884653110989902
0.1,150,50,10,0.01,100,35,0.3,0.17409294897542346,0.12369208685037683,1.1870318183947308,0.888333149847921
0.1,150,50,10,0.01,100,50,0.3,0.1679085175664804,0.1183442852571743,1.1926778004740675,0.8917341362704042
0.1,150,50,10,0.1,100,20,0.3,0.46628266583661354,0.3464103763098676,1.1252311061183657,0.8566652107318268
0.1,150,50,10,0.1,100,35,0.3,0.4595868022056533,0.3390827081502695,1.1321918709965402,0.8630292761192074
0.1,150,50,10,0.1,100,50,0.3,0.4588998799765463,0.3377824730993184,1.1354028415561601,0.866900017861667
0.1,150,50,0.1,0.01,100,20,0.3,0.17886078676607522,0.12770023318732182,1.1894000085560037,0.8904438536461169
0.1,150,50,0.1,0.01,100,35,0.3,0.17339945198514065,0.12318821340254808,1.190397534631879,0.8911576404153689
0.1,150,50,0.1,0.01,100,50,0.3,0.1697821004888609,0.12008270801930042,1.1909396806497636,0.8905462004825075
0.1,150,50,0.1,0.1,100,20,0.3,0.46458087543352594,0.34449341813988466,1.1292965075993975,0.8605404783890671
0.1,150,50,0.1,0.1,100,35,0.3,0.4604328328612535,0.3401110628446858,1.130590169915485,0.8612118955153655
0.1,150,50,0.1,0.1,100,50,0.3,0.4591908296425465,0.3383943581687919,1.1341768572778297,0.8658015083048138
