drop_ratio,hidden_size,k,lambda_n,lambda_u,lambda_v,lambda_w,matrix_noise,mse_train,mae_train,mse_test,mae_test
drop_ratio,hidden_size,k,lambda_n,lambda_u,lambda_v,lambda_w,matrix_noise,mse_train,mae_train,mse_test,mae_test
drop_ratio,hidden_size,k,lambda_n,lambda_u,lambda_v,lambda_w,matrix_noise,mse_train,mae_train,mse_test,mae_test
0.1,150,45,0.1,0.1,0.1,0.1,0.3,0.48688239523278287,0.34600274634895944,1.6362950841743131,1.1173456596774616
0.1,150,45,0.1,0.1,0.1,10,0.3,0.04246909897464834,0.03307095969444921,1.327127091684205,1.036416358811452
0.1,150,45,0.1,0.1,0.1,100,0.3,0.04235458184239904,0.03322277874787722,1.3724161029418178,1.0897457701852773
0.1,150,45,0.1,0.1,10,0.1,0.3,1.0955967124303294,0.7869456182104512,1.6064243271242786,1.227858705799332
0.1,150,45,0.1,0.1,10,10,0.3,0.23487367058383415,0.1692628465011482,1.1939356690096208,0.9214148178916978
0.1,150,45,0.1,0.1,10,100,0.3,0.17868177759801337,0.13260558533300493,1.2190925420555512,0.9537538434955627
0.1,150,45,0.1,0.1,100,0.1,0.3,1.780891647368537,1.1927290398044421,2.0171686134673883,1.4358080549018508
0.1,150,45,0.1,0.1,100,10,0.3,0.4682777511436926,0.34864784016718114,1.122514125783858,0.8551664089938955
0.1,150,45,0.1,0.1,100,100,0.3,0.4563623800649154,0.335213499750974,1.1373551016072412,0.8679360971422333
0.1,150,45,0.1,10,0.1,0.1,0.3,0.57084012260551,0.41062949556349054,1.2785208406444029,0.9639897861416081
0.1,150,45,0.1,10,0.1,10,0.3,0.17135154995212196,0.12312809275655814,1.1603277126431226,0.9204031728852787
0.1,150,45,0.1,10,0.1,100,0.3,0.17320489311993525,0.12388225755370467,1.1763874648873802,0.94165043651968
0.1,150,45,0.1,10,10,0.1,0.3,1.0886563260460704,0.8507325586228942,1.3017645371784627,1.0263725527664789
0.1,150,45,0.1,10,10,10,0.3,0.9128605062729936,0.7323635384675256,1.171550915846727,0.9342772444806255
0.1,150,45,0.1,10,10,100,0.3,0.9400885179681899,0.7593956286546689,1.1967156210914298,0.9610710834475609
0.1,150,45,0.1,10,100,0.1,0.3,1.3352410717151795,1.0687973266218542,1.4542303066034372,1.1720618663653375
0.1,150,45,0.1,10,100,10,0.3,1.4747861138766332,1.2516128317345354,1.5945766156479138,1.3474618333298891
0.1,150,45,0.1,10,100,100,0.3,1.5043959484434124,1.28711561694267,1.6143910065139844,1.3732813052829007
0.1,150,45,0.1,100,0.1,0.1,0.3,0.6195865586992608,0.4592640298133229,1.1675098035655445,0.8810646311350867
0.1,150,45,0.1,100,0.1,10,0.3,0.47646794730280223,0.3489760759213482,1.1061839874239878,0.8570042919296594
0.1,150,45,0.1,100,0.1,100,0.3,0.482256096276638,0.3525114200465595,1.1238280639840545,0.8740502986906598
0.1,150,45,0.1,100,10,0.1,0.3,1.104513251963861,0.9035521977338117,1.2633720067239258,1.0265821222987253
0.1,150,45,0.1,100,10,10,0.3,1.5825119410663957,1.331258168526358,1.701800829827166,1.4181271104021584
0.1,150,45,0.1,100,10,100,0.3,1.7494976380501455,1.4809449887735664,1.8451772694200437,1.5498891944603685
0.1,150,45,0.1,100,100,0.1,0.3,1.2396833343968723,1.0370512312328235,1.3543811840217355,1.1284308655497406
0.1,150,45,0.1,100,100,10,0.3,2.8682003650310848,2.5899453892547393,2.9042112956915522,2.618170001600553
0.1,150,45,0.1,100,100,100,0.3,3.0324108384672317,2.766207947052495,3.060362847130353,2.787697825075545
0.1,150,45,10,0.1,0.1,0.1,0.3,0.6166492738581559,0.44452456882444136,2.1124451372539172,1.261495057396362
0.1,150,45,10,0.1,0.1,10,0.3,0.044923792970231365,0.03410613264648074,1.299071387537385,1.0055237773295134
0.1,150,45,10,0.1,0.1,100,0.3,0.042076887205530114,0.033030777026922725,1.3691010150795286,1.0899953810378915
0.1,150,45,10,0.1,10,0.1,0.3,1.3494665234519712,0.9326974734252896,1.671010328631,1.199331505423183
0.1,150,45,10,0.1,10,10,0.3,0.22825598539800399,0.16569204572538834,1.1832680053683229,0.9101977478059807
0.1,150,45,10,0.1,10,100,0.3,0.17323739502918592,0.12855446672359294,1.2097990437196955,0.9474722415411794
0.1,150,45,10,0.1,100,0.1,0.3,1.5288991878677824,1.1037570858633567,1.6842942207555482,1.2586250387133153
0.1,150,45,10,0.1,100,10,0.3,0.4720704477424935,0.3521185501633057,1.1208532706808318,0.8552069196940009
0.1,150,45,10,0.1,100,100,0.3,0.45626470113647677,0.3350728574860747,1.1397987429712972,0.870673481806955
0.1,150,45,10,10,0.1,0.1,0.3,0.7753227600737364,0.5584634017120532,1.4936029085390696,1.1048030646592062
0.1,150,45,10,10,0.1,10,0.3,0.16861406125549322,0.12219076640779504,1.1513020114996868,0.9034200127260771
0.1,150,45,10,10,0.1,100,0.3,0.17318360149184917,0.1238449547861913,1.179572399178162,0.9427535559226139
0.1,150,45,10,10,10,0.1,0.3,1.2168557670489577,0.9143713960151458,1.3890797652796303,1.0649534950823432
0.1,150,45,10,10,10,10,0.3,0.9184778365971159,0.7366423976438162,1.1764576754962464,0.938900454267862
0.1,150,45,10,10,10,100,0.3,0.942944279018536,0.7617667585102313,1.199172957586189,0.9627404271471851
0.1,150,45,10,10,100,0.1,0.3,1.343408818096252,1.045055653053169,1.4602532830175177,1.150750175394701
0.1,150,45,10,10,100,10,0.3,1.4491394721745146,1.2313314086996185,1.5668316015336903,1.3241508618993818
0.1,150,45,10,10,100,100,0.3,1.5177861018468106,1.2986325348401504,1.6274001802460085,1.3845736521552048
0.1,150,45,10,100,0.1,0.1,0.3,0.7354710964770054,0.5347071219039253,1.2412987881422826,0.9323951581367648
