drop_ratio,hidden_size,k,lambda_n,lambda_q,lambda_v,lambda_w,matrix_noise,rmse_train,mae_train,rmse_test,mae_test
0.1,100,25,10,1,0.1,1,0.3,0.8899787023809296,0.6736692101165488,1.0463931850909112,0.792570541761137
0.1,100,25,10,1,1,1,0.3,0.8900282221594135,0.6736151965084506,1.046248496863126,0.792307711296687
0.1,100,25,10,10,0.1,1,0.3,0.9075497434360694,0.686654030289372,1.046519684292605,0.7925327079370171
0.1,100,25,10,10,1,1,0.3,0.9077482498491423,0.6867824694486159,1.0463686295369399,0.7924410631917218
0.1,100,25,10,100,0.1,1,0.3,0.9083701724520208,0.6871792750606742,1.0464897431929798,0.7923488806604171
0.1,100,25,10,100,1,1,0.3,0.9094927901309959,0.6882064338230749,1.0464672082592426,0.7925676401558691
0.1,100,25,100,1,0.1,1,0.3,0.8844787218506405,0.6694527011219049,1.0466793359615922,0.7927505128963055
0.1,100,25,100,1,1,1,0.3,0.8862819648597076,0.6708911561356713,1.046747124435197,0.7928690604708755
0.1,100,25,100,10,0.1,1,0.3,0.8999643819594583,0.6811403305235196,1.0471149913001978,0.7935170217597787
0.1,100,25,100,10,1,1,0.3,0.9025479288876691,0.6830101862927331,1.0469114204998837,0.7932640717184954
0.1,100,25,100,100,0.1,1,0.3,0.9008261130739644,0.6815858739221228,1.0476108229623646,0.7936068205236992
0.1,100,25,100,100,1,1,0.3,0.8999467363407815,0.6801720407225493,1.0469031691694084,0.7922858128472642
0.1,100,50,10,1,0.1,1,0.3,0.8727822001834886,0.6604986831111699,1.0463189415402547,0.7924505014336023
0.1,100,50,10,1,1,1,0.3,0.8720327207579215,0.6597180947461079,1.0463390049687455,0.7921782561725491
0.1,100,50,10,10,0.1,1,0.3,0.9075926883568423,0.6869999727661098,1.0463298674505894,0.7928033607868834
0.1,100,50,10,10,1,1,0.3,0.9083482197484143,0.6876809372083151,1.0463750923200372,0.792905719197824
0.1,100,50,10,100,0.1,1,0.3,0.910044483336833,0.6887844731597897,1.0464510555302498,0.7927877701906898
0.1,100,50,10,100,1,1,0.3,0.9089487718983099,0.687717581478163,1.0464921376707412,0.79253294810437
0.1,100,50,100,1,0.1,1,0.3,0.8679947897082801,0.6570434542382152,1.0467441589745576,0.7928702926598317
0.1,100,50,100,1,1,1,0.3,0.8680969325850132,0.6568359214699533,1.0468815621820722,0.7928137170349883
0.1,100,50,100,10,0.1,1,0.3,0.8986078305175141,0.6798829283365515,1.0471477153397752,0.7932792595408287
0.1,100,50,100,10,1,1,0.3,0.8986872656207225,0.6801197568067507,1.0470144870852065,0.7933218082571443
0.1,100,50,100,100,0.1,1,0.3,0.8998688560521996,0.6805504489914896,1.0469024295974825,0.7926994576146097
0.1,100,50,100,100,1,1,0.3,0.896953675459671,0.6779261668652089,1.0473250823810518,0.7924855047896012
0.1,150,25,10,1,0.1,1,0.3,0.8915109438207667,0.6749218639049706,1.0461589664846656,0.7924710664807173
0.1,150,25,10,1,1,1,0.3,0.8901824565650959,0.673762515806907,1.046259073573215,0.7922736505890621
0.1,150,25,10,10,0.1,1,0.3,0.9081391878871072,0.6871977181454435,1.0464910627403874,0.7925869611274191
0.1,150,25,10,10,1,1,0.3,0.9087180245008263,0.6878069739928011,1.046326054392175,0.7926123134258617
0.1,150,25,10,100,0.1,1,0.3,0.9084360374823556,0.687237526588683,1.0464247589124214,0.792406986587532
0.1,150,25,10,100,1,1,0.3,0.9076361377645307,0.6863982726262183,1.046415032750846,0.79215098359177
0.1,150,25,100,1,0.1,1,0.3,0.886715492103508,0.6715324340005389,1.0466261564201145,0.7929051051620791
0.1,150,25,100,1,1,1,0.3,0.8871000936709437,0.6717319732293676,1.0468115973963275,0.7928787161008303
0.1,150,25,100,10,0.1,1,0.3,0.9003184283649308,0.681147217439664,1.0469314461605617,0.7929834011266075
0.1,150,25,100,10,1,1,0.3,0.9011474928274142,0.681880764549685,1.0469217438122953,0.7931105076759962
0.1,150,25,100,100,0.1,1,0.3,0.8982505261143388,0.6795949051250088,1.0474233034175269,0.7934492617967823
0.1,150,25,100,100,1,1,0.3,0.9001785332961272,0.680873189347921,1.0473013283702415,0.7933350222628133
0.1,150,50,10,1,0.1,1,0.3,0.8722670369807259,0.6600223938400623,1.0464691366130274,0.7925026867418618
0.1,150,50,10,1,1,1,0.3,0.8717180661544035,0.659478267753453,1.0462293246725696,0.7921569685606595
0.1,150,50,10,10,0.1,1,0.3,0.9055319453095657,0.6849710456788255,1.0464099353093568,0.7923498336250582
0.1,150,50,10,10,1,1,0.3,0.9061670217610847,0.6855960139601796,1.0464944418917788,0.7925425341631119
0.1,150,50,10,100,0.1,1,0.3,0.9078177809991634,0.6866539897460692,1.0464749712345827,0.7923109316264885
0.1,150,50,10,100,1,1,0.3,0.9102949902650679,0.6890786340219884,1.046486987919168,0.7928552524040682
0.1,150,50,100,1,0.1,1,0.3,0.8653491795312908,0.655043435716061,1.0468319283475471,0.7929564192399098
0.1,150,50,100,1,1,1,0.3,0.8708304788922738,0.6593496375798759,1.0464504994939874,0.7928146678334054
0.1,150,50,100,10,0.1,1,0.3,0.8964870166776963,0.6782215814183211,1.0471058108082167,0.7929986391175359
0.1,150,50,100,10,1,1,0.3,0.8961842989803985,0.6778582814167673,1.0471629108633203,0.7930400071438807
0.1,150,50,100,100,0.1,1,0.3,0.8974721876627028,0.6788326486944367,1.0473661522729767,0.7932096874675142
0.1,150,50,100,100,1,1,0.3,0.8986858413062162,0.6795633434510303,1.0469056006793696,0.7926909689688312
